# #initialSiteID,finalSiteID,s_x[ang.],s_y[ang.],s_z[ang.],freq[Hz]
1,9,0.0000000000,-0.9114036400,-0.9114036400,1.3935600733e+10
1,10,0.0000000000,-0.9114036400,0.9114036400,1.3935600733e+10
2,9,0.0000000000,0.9114036400,-0.9114036400,1.3935600733e+10
2,10,0.0000000000,0.9114036400,0.9114036400,1.3935600733e+10
3,7,0.9114036400,0.0000000000,-0.9114036400,1.3935600733e+10
3,8,-0.9114036400,0.0000000000,-0.9114036400,1.3935600733e+10
4,7,0.9114036400,0.0000000000,0.9114036400,1.3935600733e+10
4,8,-0.9114036400,0.0000000000,0.9114036400,1.3935600733e+10
5,11,-0.9114036400,0.9114036400,0.0000000000,1.3935600733e+10
5,12,-0.9114036400,-0.9114036400,0.0000000000,1.3935600733e+10
6,11,0.9114036400,0.9114036400,0.0000000000,1.3935600733e+10
6,12,0.9114036400,-0.9114036400,0.0000000000,1.3935600733e+10
7,3,-0.9114036400,0.0000000000,0.9114036400,1.3935600733e+10
7,4,-0.9114036400,0.0000000000,-0.9114036400,1.3935600733e+10
8,3,0.9114036400,0.0000000000,0.9114036400,1.3935600733e+10
8,4,0.9114036400,0.0000000000,-0.9114036400,1.3935600733e+10
9,1,0.0000000000,0.9114036400,0.9114036400,1.3935600733e+10
9,2,0.0000000000,-0.9114036400,0.9114036400,1.3935600733e+10
10,1,0.0000000000,0.9114036400,-0.9114036400,1.3935600733e+10
10,2,0.0000000000,-0.9114036400,-0.9114036400,1.3935600733e+10
11,5,0.9114036400,-0.9114036400,0.0000000000,1.3935600733e+10
11,6,-0.9114036400,-0.9114036400,0.0000000000,1.3935600733e+10
12,5,0.9114036400,0.9114036400,0.0000000000,1.3935600733e+10
12,6,-0.9114036400,0.9114036400,0.0000000000,1.3935600733e+10
1,7,-1.2067013600,1.2067013600,0.0000000000,6.3122595125e+08
1,8,1.2067013600,1.2067013600,0.0000000000,6.3122595125e+08
2,7,-1.2067013600,-1.2067013600,0.0000000000,6.3122595125e+08
2,8,1.2067013600,-1.2067013600,0.0000000000,6.3122595125e+08
3,11,0.0000000000,-1.2067013600,1.2067013600,6.3122595125e+08
3,12,0.0000000000,1.2067013600,1.2067013600,6.3122595125e+08
4,11,0.0000000000,-1.2067013600,-1.2067013600,6.3122595125e+08
4,12,0.0000000000,1.2067013600,-1.2067013600,6.3122595125e+08
5,9,1.2067013600,0.0000000000,1.2067013600,6.3122595125e+08
5,10,1.2067013600,0.0000000000,-1.2067013600,6.3122595125e+08
6,9,-1.2067013600,0.0000000000,1.2067013600,6.3122595125e+08
6,10,-1.2067013600,0.0000000000,-1.2067013600,6.3122595125e+08
7,1,1.2067013600,-1.2067013600,0.0000000000,6.3122595125e+08
7,2,1.2067013600,1.2067013600,0.0000000000,6.3122595125e+08
8,1,-1.2067013600,-1.2067013600,0.0000000000,6.3122595125e+08
8,2,-1.2067013600,1.2067013600,0.0000000000,6.3122595125e+08
9,5,-1.2067013600,0.0000000000,-1.2067013600,6.3122595125e+08
9,6,1.2067013600,0.0000000000,-1.2067013600,6.3122595125e+08
10,5,-1.2067013600,0.0000000000,1.2067013600,6.3122595125e+08
10,6,1.2067013600,0.0000000000,1.2067013600,6.3122595125e+08
11,3,0.0000000000,1.2067013600,-1.2067013600,6.3122595125e+08
11,4,0.0000000000,1.2067013600,1.2067013600,6.3122595125e+08
12,3,0.0000000000,-1.2067013600,-1.2067013600,6.3122595125e+08
12,4,0.0000000000,-1.2067013600,1.2067013600,6.3122595125e+08
